"","X2206_WT","X2208_WT","X2260_WT","X2265_WT","X2266_WT","X2352_WT","X2354_WT","X2199_Arom","X2261_Arom","X2284_Arom","X2285_Arom","X2253_Arom","Accession","Peptides.used.for.quantitation"
"1",255771955.2,329950237,368243457.7,231173270,278525458.4,374914685.4,377951010.2,254010836.6,293214045.6,314224053.9,383743671.9,403922948.5,"Q8C196",132
"2",7588802.26,6781880.09,9551800.42,3766797.69,5524374.38,8244856.3,9252619.68,18295813.08,21186327.4,19009121.18,16738709.93,17904369.41,"P19096",101
"3",11506837.94,14201527.72,12834365.32,8984382.51,11966667.84,15860098.85,14813107.73,11220696.15,13928532.21,14452267.24,14143841.68,18569246.82,"Q05920",56
"4",28497779.01,33233558.62,40293678.08,26123794.14,29980593.72,37675163.37,36581007.07,34456540.07,43616710.51,37944908.88,39335701.64,42316836.19,"Q8R0Y6",56
"5",30408270.12,34437363.87,48461230.45,40692474.17,33921497.72,80645827.5,100551775.4,64296439.02,64627921.29,74600364.13,50774961.38,148503869.5,"P07724",51
"6",8964450.04,10833685.58,8597115.6,7650417.59,9537904.82,10219218.1,9365397.54,7159218.83,9053795.87,10139244.58,10944033.93,11490941.53,"Q9DBT9",44
"7",4568399.14,5779977.14,6151196.15,4266984.65,4933246.2,6624699.99,6298334.44,5889450.15,7038544.64,6687533.73,6820567.15,7593808.62,"Q922D8",42
"8",13675368.48,19525314.24,18014204.27,14486521.65,18542857.78,19636315.46,18955080.22,14949084.77,17712486.04,17172050.24,18517087.09,21751909.67,"P63038",47
"9",33683490.49,38498241.98,36383805.53,27740485.28,33656390.09,39904298.19,35679884.99,26810469.97,34263688.48,34068344.31,39835128.54,45126382.57,"P26443",50
"10",4375343.97,4977388.25,4561794.05,3294798.33,4229549.76,5204968.87,5287143.19,4418611.26,5618078.9,4960890.47,5207668.68,5978217.1,"P28271",40
"11",25135805.84,36558748.19,35982590.99,26902555.79,34805363.53,43012467.06,42318772.95,32541752.64,37131330.5,37626283.73,42356251.25,55755246.43,"Q8BWT1",49
"12",4778662.84,6739062.46,6161207.54,5284134.9,6547706.57,7383055.24,7328330.19,4764933.92,6070576.17,6224701.61,5929557.93,6653421.8,"P58252",39
"13",31609364.92,41989456.39,48318249.65,30150896.17,33103119.08,50038030.49,47460674.81,42513745.55,50021973.98,45710770.57,55450485.23,62547482.4,"P16460",43
"14",3591271,4453366.03,5162672.08,4686508.84,4185235.28,7859778.06,9884140.9,5580805.38,5776181.42,6924624.83,5248671.66,10653080.5,"Q921I1",35
"15",7378779.42,9142519.87,9150767.27,5491317.01,6294845.83,9279379.75,9131948.53,8265438.76,10347888.1,8817612.02,10407944.93,11876866.6,"Q99LB7",36
"16",8148371.41,7074046.27,7303230.8,3416436.49,5164093.65,6401866.75,7480717.19,7188435.67,9415800.46,11597575.28,10450898.89,10557409.59,"Q9R0H0",37
"17",3739794.65,3543936.02,3145609.3,4920559.97,6046622.58,2822285.33,2666293.23,3371009.08,3740327.49,4045724.05,4263435.11,3244690.86,"Q9ET01",34
"18",20573453.17,21036164.99,21301841.91,14120075.73,17707824.98,20098720.16,24835058.68,14580734.87,19106093.83,21968712.35,21015281.56,19755933.81,"P24270",36
"19",3518578.54,3169519.98,3367931.26,1394195.02,2130851.17,3183658.65,3462190.5,5211017.15,6621793.25,5716701.36,5662617.83,6709925.69,"Q9DBM2",33
"20",24828742.69,26648697.71,25341574.5,16765571.52,21162516.93,27493974.37,28424079.45,20706274.16,25533529.83,25766599.58,28669414.63,32543113.43,"P47738",34
"21",19912233.34,23881797.69,27240466.12,16740727.91,17435606.75,25219713.04,23324865.88,19888197.6,24254307.26,22091034.46,23567652.55,25451601.51,"P50247",40
"22",11222261.13,11449446.91,12837909.33,8316878.35,10436690.67,12880668.46,12658702.47,11635820.31,13141057.05,13332684.12,13535760.41,15196940.38,"O88844",43
"23",4173389.99,4434653.59,5274032.13,3886541.76,4936007.66,5124581.89,5779361.24,4789366.94,5676131.77,5678848.75,5034175.49,6138682.97,"P40142",32
"24",1334177.18,1141262.46,1417269.63,771964.36,971379.29,1453576.1,1711638.89,2090056.88,2553312.86,2343325.69,2069883.89,2178817.18,"Q91V92",31
"25",26874916.01,29399828.15,32246510.47,24684598.05,27344884.89,34352640.39,33117150.16,29006310.53,36820612.4,36704680.12,36186810.55,40356388.99,"Q64374",37
"26",18014678.09,20368931.87,18335850.2,10531121.58,15929310.6,22263199.57,24406348.76,17124783.73,22045886.52,23328771.3,22850773.75,30456520.52,"P54869",37
"27",11724247.26,15317284.86,13079294.14,10483514.38,12907173.72,11059072.05,14473827.44,4843334.58,5644350.62,6307749.11,5899112.53,6411274.94,"P32020",36
"28",7002966.5,8240152.38,9133288.08,6165587.09,7208448.23,9630632.42,10025255.02,8849381.06,11073712.07,11488199.58,12706229.32,12683147.4,"Q91YI0",36
"29",4207364.81,5043689.07,5268256.95,6520669.57,5625386.61,4356504.58,5847155.02,2499592.31,3228514.7,3743869.28,3387991.57,3740039.49,"P20029",31
"30",4250876.39,6015184.91,5536870.93,4031953.51,5073553.85,5640108.73,6000250.72,4334221.34,4914656.01,4965535.48,5527371.95,6445897.43,"P38647",32
"31",4430083.31,4485913.6,4543471.45,3085736.18,3616904.02,4715442.63,5038738.49,4264070.28,5548334.84,4878753.42,4646669.24,5166488.95,"Q9D0F9",30
"32",3164491.42,3893664.13,3566150.44,3080471.7,3758730.32,3998244.31,4167329.68,3441083.01,4380927.29,3891470.36,3646595.12,4571276.73,"Q01853",30
"33",2104080.83,2188826.51,2635168.57,1507633.57,1760806.16,2483203.08,2225735.67,2093763.27,2748185.97,2527295.31,2682150.77,2744342.77,"Q8CHR6",31
"34",409189.36,852752.12,946274.88,614924.16,922766.83,1052843.74,988431.81,681271.67,801761.49,1061460.73,1047267.82,1266051.93,"Q8VDD5",31
"35",35091836.95,34683205.89,38392811.38,25040704.95,31322986.96,45202720.27,43650075.53,37593375.39,48364228.05,42382728.33,41945558.17,43136218.22,"Q91Y97",35
"36",34183051.72,47261826.6,51334333.03,46926830.65,52559261.66,45587550.53,42528511.38,30267679.74,38481176.57,32982041.39,34614965.45,37408589.09,"O35490",36
"37",9611414.83,10814875.29,12503330.07,8275464.71,8844698.26,11821517.18,10680158.87,11567932.25,14617275.28,13260005.71,13512475.56,15808218.26,"P49429",31
"38",5576316.45,7234520.54,6242494.1,7096451.82,7287845.88,6269413.05,7621859.18,4168694.04,5326745.84,5652903.57,5576081.99,6165249.8,"P09103",27
"39",4829588.26,4970520,4810276.66,3099342.55,4051621.79,4735541.24,5533499.84,3173962,3352950.22,4679980.01,4119031.63,4429026.97,"Q03265",29
"40",3843580.26,4947495.37,3733623.96,4897025.43,4450982.32,4245962.8,4929576.98,2503971.93,2963567.55,3308238.73,3371695.21,3364436.3,"P27773",30
"41",658274.68,1479880.95,1329522.5,1202188.49,1621904.75,1644489.83,1737629.3,821686.75,808327.79,952959.63,988066.43,958203,"Q99PL5",28
"42",5072757.73,8595085.05,7856174.53,5951603.08,7063966.17,7988170.81,8653793.84,3842327.32,5073717.8,4840256.42,5268503.93,5861393.31,"P16331",27
"43",2902794.87,6036725.06,5868122.82,5377688.51,5942399.15,6070139.53,5078836.3,5566044.85,6448189.52,5388389.3,6113770.93,7014485.93,"P11499",29
"44",1150749.16,1207556.43,1303980.54,785795.63,1141017.94,1625455.95,1727361.43,1716973.14,2299238.2,2452164.43,2375696.93,2352734.91,"P14824",30
"45",9668356.02,10478669.2,10773313.26,7130031.06,9059406.08,12521542.04,13382546.86,10543167.29,13376531.71,12227745.39,12408664.29,15100736.67,"P17182",31
"46",14765412.04,16025409.73,16680339.53,10624505.68,13574531.65,20080786.13,19739546.4,19061514.28,22508494.43,21138967.44,24531854.56,26087200.36,"Q9QXD6",32
"47",6780688.28,8662432.79,8262080.28,5581273.44,7269925.63,9462272.89,9022059.78,7119501.11,8717349.13,8897589.33,9542636.92,11303005.66,"Q9EQ20",28
"48",1759593.42,2495277.65,2469952.82,1472175.52,1984015.19,2585525.34,2452339.3,1827778.08,2300852.89,2056994.79,2507649.18,2636188.77,"Q99K67",26
"49",1752547.52,2523911.71,2204979.52,1135909.56,1333028.52,1980687.32,2393671.75,1591193.92,1548231.12,2128442.42,2244973.39,2598750.87,"Q8BMS1",28
