"Column"	"Label"	"Group"	"Pool"
"Reporter intensity corrected 1 Pat_tbc_pool_1"	"ref_Pool1"	"Common.reference"	"Pool_1"
"Reporter intensity corrected 2 Pat_tbc_pool_1"	"1.HC_Pool1"	"Healthy.control"	"Pool_1"
"Reporter intensity corrected 3 Pat_tbc_pool_1"	"1.PTB_Pool1"	"Pulmonary.tuberculosis"	"Pool_1"
"Reporter intensity corrected 4 Pat_tbc_pool_1"	"2.HC_Pool1"	"Healthy.control"	"Pool_1"
"Reporter intensity corrected 5 Pat_tbc_pool_1"	"2.PTB_Pool1"	"Pulmonary.tuberculosis"	"Pool_1"
"Reporter intensity corrected 6 Pat_tbc_pool_1"	"3.HC_Pool1"	"Healthy.control"	"Pool_1"
"Reporter intensity corrected 7 Pat_tbc_pool_1"	"3.PTB_Pool1"	"Pulmonary.tuberculosis"	"Pool_1"
"Reporter intensity corrected 8 Pat_tbc_pool_1"	"1.TBL_Pool1"	"Tuberculous.lymphadenitis"	"Pool_1"
"Reporter intensity corrected 9 Pat_tbc_pool_1"	"2.TBL_Pool1"	"Tuberculous.lymphadenitis"	"Pool_1"
"Reporter intensity corrected 10 Pat_tbc_pool_1"	"3.TBL_Pool1"	"Tuberculous.lymphadenitis"	"Pool_1"
"Reporter intensity corrected 1 Pat_tbc_pool_2"	"ref_Pool2"	"Common.reference"	"Pool_2"
"Reporter intensity corrected 2 Pat_tbc_pool_2"	"1.RX_Pool2"	"Treated.pulmonary.tuberculosis"	"Pool_2"
"Reporter intensity corrected 3 Pat_tbc_pool_2"	"1.HC_Pool2"	"Healthy.control"	"Pool_2"
"Reporter intensity corrected 4 Pat_tbc_pool_2"	"2.RX_Pool2"	"Treated.pulmonary.tuberculosis"	"Pool_2"
"Reporter intensity corrected 5 Pat_tbc_pool_2"	"2.HC_Pool2"	"Healthy.control"	"Pool_2"
"Reporter intensity corrected 6 Pat_tbc_pool_2"	"3.RX_Pool2"	"Treated.pulmonary.tuberculosis"	"Pool_2"
"Reporter intensity corrected 7 Pat_tbc_pool_2"	"3.HC_Pool2"	"Healthy.control"	"Pool_2"
"Reporter intensity corrected 8 Pat_tbc_pool_2"	"1.PTB_Pool2"	"Pulmonary.tuberculosis"	"Pool_2"
"Reporter intensity corrected 9 Pat_tbc_pool_2"	"2.PTB_Pool2"	"Pulmonary.tuberculosis"	"Pool_2"
"Reporter intensity corrected 10 Pat_tbc_pool_2"	"3.PTB_Pool2"	"Pulmonary.tuberculosis"	"Pool_2"
