"LFQ.intensity.H1","LFQ.intensity.H2","LFQ.intensity.H3","LFQ.intensity.L1","LFQ.intensity.L2","LFQ.intensity.L3","Fasta.headers","Reverse","Only.identified.by.site","Protein.IDs","Gene.names"
39889000,29083000,14488000,13211000,12913000,12389000,">sp|P0AD10|YECJ_ECOLI Uncharacterized protein yecJ OS=Escherichia coli (strain K12) GN=yecJ PE=4 SV=1","","","P0AD10","yecJ"
4876800000,3.023e+09,4.627e+09,1755200000,1875900000,1.649e+09,">sp|P69776|LPP_ECOLI Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) GN=lpp PE=1 SV=1","","","P69776","lpp"
584810000,481470000,588280000,832020000,855280000,715140000,">sp|Q13523|PRP4B_HUMAN Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens GN=PRPF4B PE=1 SV=3;>tr|F5H2U2|F5H2U2_HUMAN Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens GN=PRPF4B PE=4 SV=1;>tr|H0YDJ3|H0YDJ3_HUMAN Serine/threonine-protei","","","Q13523;F5H2U2;H0YDJ3;H0YEC8","PRPF4B"
312950000,248920000,301030000,397680000,463440000,351080000,">sp|Q9Y224|CN166_HUMAN UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1;>tr|G3V4C6|G3V4C6_HUMAN UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=4 SV=1","","","Q9Y224;G3V4C6;H0YJB9;G3V4E7","C14orf166"
0,3689800,0,7690500,2905400,0,">tr|E7EWC6|E7EWC6_HUMAN DNA-directed RNA polymerase II subunit RPB11-b2 (Fragment) OS=Homo sapiens GN=POLR2J3 PE=4 SV=1;>tr|D6RAG0|D6RAG0_HUMAN DNA-directed RNA polymerase II subunit RPB11-b2 OS=Homo sapiens GN=POLR2J3 PE=4 SV=1;>tr|E7EP90|E7EP90_HUMAN DNA","","","E7EWC6;D6RAG0;E7EP90;Q9GZM3;Q9GZM3-2;P52435;Q9H1A6;E2QRJ6;Q9H1A7;F6W009;A6NJ25;A6NFM0;F8WF84","POLR2J3;POLR2J2;POLR2J;POLR2J1"
2318900,1717100,0,2337800,2899900,2481600,">sp|Q9UH99|SUN2_HUMAN SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2 PE=1 SV=3;>tr|B0QY62|B0QY62_HUMAN SUN domain-containing protein 2 OS=Homo sapiens GN=UNC84B PE=4 SV=1","","","Q9UH99;B0QY62;B0QY60","SUN2;UNC84B"
632030000,688520000,705660000,819930000,1001600000,807350000,">sp|Q96FV9|THOC1_HUMAN THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1","","","Q96FV9;Q96FV9-2","THOC1"
4521000,3301000,4428100,6580300,5120100,8632400,">sp|Q5T5Y3|CAMP1_HUMAN Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens GN=CAMSAP1 PE=1 SV=2;>sp|Q5T5Y3-3|CAMP1_HUMAN Isoform 3 of Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens GN=CAMSAP1;>sp|Q5T5Y3-2|CAMP1_HUMAN Isof","","","Q5T5Y3;Q5T5Y3-3;Q5T5Y3-2","CAMSAP1"
0,0,0,1209900,0,0,">sp|P30843|BASR_ECOLI Transcriptional regulatory protein BasR OS=Escherichia coli (strain K12) GN=basR PE=1 SV=3","","","P30843","basR"
8220200,6868500,9425500,16335000,15658000,21023000,">sp|Q9NRP0|OSTC_HUMAN Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1;>tr|D6RH22|D6RH22_HUMAN Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=4 SV=2","","","Q9NRP0;D6RH22","OSTC"
